LINK_MODEL_BASED::ORIGINAL::LEFT_KNEE_ANGLE
File	Frame	X 	Y 	Z 
 - 	140	-11.602801	-0.669242	5.075487
 - 	141	-14.504597	-0.598798	4.823930
 - 	142	-17.718334	-0.548634	4.518607
 - 	143	-21.241943	-0.496440	4.154903
 - 	144	-25.036127	-0.399653	3.785405
 - 	145	-28.982061	-0.231494	3.502744
 - 	146	-32.882954	-0.005205	3.390846
 - 	147	-36.512039	0.237744	3.474919
 - 	148	-39.673012	0.465760	3.707056
 - 	149	-42.241394	0.689310	3.988216
 - 	150	-44.175026	0.959578	4.205406
 - 	151	-45.495045	1.333037	4.270944
 - 	152	-46.250908	1.831258	4.156900
 - 	153	-46.489033	2.424494	3.912372
 - 	154	-46.239471	3.044680	3.652620
 - 	155	-45.520172	3.616241	3.524888
 - 	156	-44.346378	4.086699	3.662359
 - 	157	-42.735355	4.442429	4.132986
 - 	158	-40.707172	4.703348	4.899020
 - 	159	-38.289768	4.898523	5.814129
 - 	160	-35.531017	5.034431	6.671074
 - 	161	-32.510262	5.076560	7.285185
 - 	162	-29.338644	4.961131	7.578572
 - 	163	-26.143419	4.632246	7.623044
 - 	164	-23.043644	4.080519	7.610288
 - 	165	-20.133368	3.361846	7.748232
 - 	166	-17.483946	2.584749	8.136603
 - 	167	-15.166947	1.868523	8.711576
 - 	168	-13.278564	1.302658	9.296617
 - 	169	-11.939174	0.936871	9.710020
 - 	170	-11.269030	0.791668	9.855231
 - 	171	-11.359136	0.863562	9.740631
 - 	172	-12.248392	1.123228	9.431204
 - 	173	-13.913743	1.524457	8.996934
 - 	174	-16.279564	2.024494	8.499543
 - 	175	-19.242147	2.595755	7.998364
 - 	176	-22.698166	3.221273	7.550709
 - 	177	-26.567099	3.884965	7.200004
 - 	178	-30.799150	4.566854	6.963969
 - 	179	-35.366310	5.243290	6.836722
 - 	180	-40.244583	5.890777	6.795543
 - 	181	-45.399597	6.489955	6.805690
 - 	182	-50.779842	7.021912	6.831284
 - 	183	-56.318665	7.459473	6.847016
 - 	184	-61.945515	7.763704	6.836820
 - 	185	-67.595825	7.889704	6.779577
 - 	186	-73.211624	7.801775	6.633627
 - 	187	-78.736374	7.490802	6.336366
 - 	188	-84.110237	6.987999	5.827464
 - 	189	-89.269928	6.377090	5.083163
 - 	190	-94.149742	5.781635	4.134129
 - 	191	-98.682152	5.313926	3.057296
 - 	192	-102.805237	5.033047	1.964260
 - 	193	-106.470810	4.939640	0.980255
 - 	194	-109.639099	4.984552	0.182976
 - 	195	-112.264954	5.088781	-0.453822
 - 	196	-114.294586	5.176162	-1.033533
 - 	197	-115.676537	5.194772	-1.639132
 - 	198	-116.375145	5.113189	-2.257971
 - 	199	-116.376633	4.905798	-2.805939
 - 	200	-115.686661	4.549435	-3.212252
 - 	201	-114.324875	4.034424	-3.458769
 - 	202	-112.322517	3.375755	-3.553928
 - 	203	-109.722702	2.616781	-3.492024
 - 	204	-106.579391	1.822335	-3.241626
 - 	205	-102.953064	1.060197	-2.771950
 - 	206	-98.902878	0.382304	-2.081033
 - 	207	-94.477417	-0.184815	-1.202469
 - 	208	-89.710152	-0.643015	-0.194092
 - 	209	-84.621635	-1.018478	0.884608
 - 	210	-79.223167	-1.348601	1.981424
 - 	211	-73.519958	-1.666965	3.048462
 - 	212	-67.514946	-1.990339	4.053949
 - 	213	-61.215126	-2.307088	4.991439
 - 	214	-54.644070	-2.575022	5.867953
 - 	215	-47.859379	-2.736030	6.687129
 - 	216	-40.966904	-2.739058	7.431200
 - 	217	-34.127186	-2.559201	8.045287
 - 	218	-27.555389	-2.210595	8.452385
 - 	219	-21.508400	-1.750306	8.598381
 - 	220	-16.251110	-1.266581	8.483767
 - 	221	-12.011389	-0.850137	8.161189
 - 	222	-8.941435	-0.561219	7.709988
 - 	223	-7.096366	-0.414317	7.203960
 - 	224	-6.432451	-0.385289	6.690294
 - 	225	-6.822330	-0.426949	6.187576
 - 	226	-8.083319	-0.487694	5.696345
 - 	227	-10.014387	-0.531609	5.214683
 - 	228	-12.436010	-0.547809	4.750248
 - 	229	-15.220822	-0.542974	4.319752
 - 	230	-18.298544	-0.523840	3.938888
 - 	231	-21.632454	-0.480472	3.616786
 - 	232	-25.180277	-0.385440	3.364719
 - 	233	-28.855814	-0.213925	3.209534
 - 	234	-32.510487	0.033241	3.190747
 - 	235	-35.952068	0.325402	3.336089
 - 	236	-38.994007	0.622400	3.633119
 - 	237	-41.503635	0.906953	4.018176
 - 	238	-43.421459	1.202886	4.392112
 - 	239	-44.746986	1.559851	4.658107
 - 	240	-45.506416	2.016486	4.762927
 - 	241	-45.725967	2.570759	4.719857
 - 	242	-45.423901	3.175226	4.604895
 - 	243	-44.615818	3.759457	4.532301
 - 	244	-43.324162	4.262427	4.621293
 - 	245	-41.583691	4.652088	4.958630
 - 	246	-39.439072	4.924664	5.557968
 - 	247	-36.939476	5.086987	6.337107
 - 	248	-34.139679	5.134766	7.137092
 - 	249	-31.108494	5.042325	7.783492
 - 	250	-27.933563	4.771592	8.174913
 - 	251	-24.714912	4.303752	8.346662
 - 	252	-21.555771	3.670845	8.441233
 - 	253	-18.564001	2.948424	8.601811
 - 	254	-15.859269	2.221556	8.888884
 - 	255	-13.570586	1.566261	9.269336
 - 	256	-11.826836	1.044588	9.643160
 - 	257	-10.745059	0.699288	9.889945
 - 	258	-10.412154	0.555426	9.929520
 - 	259	-10.866316	0.624088	9.755540
 - 	260	-12.090396	0.897577	9.421282
 - 	261	-14.019481	1.343296	9.005102
 - 	262	-16.559607	1.908219	8.583443
 - 	263	-19.614412	2.533274	8.213665
 - 	264	-23.110271	3.167898	7.922060
 - 	265	-27.005081	3.779039	7.702093
 - 	266	-31.276283	4.353531	7.527423
 - 	267	-35.901463	4.895656	7.367607
 - 	268	-40.846004	5.421938	7.197552
 - 	269	-46.060200	5.948164	7.008784
 - 	270	-51.484135	6.469345	6.818769
 - 	271	-57.057644	6.947981	6.664503
 - 	272	-62.725159	7.321586	6.579504
 - 	273	-68.429855	7.526167	6.564832
 - 	274	-74.105316	7.520850	6.572458
 - 	275	-79.676239	7.301651	6.513961
 - 	276	-85.068138	6.905521	6.289556
 - 	277	-90.214722	6.404406	5.822753
 - 	278	-95.058304	5.896196	5.091767
 - 	279	-99.547081	5.493502	4.147567
 - 	280	-103.629440	5.281693	3.089476
 - 	281	-107.249100	5.264288	2.002879
 - 	282	-110.347717	5.362464	0.931578
 - 	283	-112.871628	5.467945	-0.092753
 - 	284	-114.776047	5.490540	-1.043183
 - 	285	-116.026611	5.375895	-1.922773
 - 	286	-116.603951	5.103829	-2.733218
 - 	287	-116.508156	4.675888	-3.407705
 - 	288	-115.754181	4.104098	-3.831457
 - 	289	-114.363037	3.409862	-3.952714
 - 	290	-112.361984	2.623596	-3.837415
 - 	291	-109.792473	1.783649	-3.588577
 - 	292	-106.708710	0.938844	-3.253432
 - 	293	-103.163200	0.139353	-2.829883
 - 	294	-99.194946	-0.582589	-2.299785
 - 	295	-94.828644	-1.215547	-1.628914
 - 	296	-90.081680	-1.754664	-0.780207
 - 	297	-84.972801	-2.193684	0.253758
 - 	298	-79.523438	-2.533483	1.440418
 - 	299	-73.749214	-2.791821	2.730575
 - 	300	-67.652679	-2.990986	4.091167
 - 	301	-61.228165	-3.131531	5.489475
 - 	302	-54.482830	-3.186503	6.831167
 - 	303	-47.468746	-3.120255	7.957994
 - 	304	-40.310081	-2.909211	8.731866
 - 	305	-33.212063	-2.555568	9.106452
 - 	306	-26.446342	-2.092371	9.126852
 - 	307	-20.313793	-1.580055	8.883291
 - 	308	-15.097552	-1.097584	8.466888
 - 	309	-11.020988	-0.721738	7.951901
 - 	310	-8.214585	-0.495869	7.394076
 - 	311	-6.696773	-0.412235	6.830355
 - 	312	-6.377608	-0.421691	6.282228
 - 	313	-7.084685	-0.460056	5.765363
 - 	314	-8.601493	-0.477088	5.295650
 - 	315	-10.709082	-0.455969	4.884266
 - 	316	-13.224333	-0.413752	4.530336
 - 	317	-16.025274	-0.383310	4.223371
 - 	318	-19.051224	-0.386944	3.955100
 - 	319	-22.273918	-0.416026	3.732234
 - 	320	-25.652279	-0.431324	3.583167
 - 	321	-29.095373	-0.387444	3.550387
 - 	322	-32.455185	-0.260731	3.663678
 - 	323	-35.551811	-0.054183	3.912600
 - 	324	-38.216175	0.219863	4.240812
 - 	325	-40.327393	0.558043	4.558578
 - 	326	-41.826958	0.966360	4.770474
 - 	327	-42.709213	1.444036	4.816061
 - 	328	-42.998898	1.974571	4.700318
 - 	329	-42.730022	2.528630	4.501631
 - 	330	-41.938374	3.064105	4.355230
 - 	331	-40.663456	3.528937	4.403880
 - 	332	-38.947716	3.875421	4.731565
 - 	333	-36.832172	4.074567	5.318348
 - 	334	-34.356499	4.117484	6.043266
 - 	335	-31.568325	4.006797	6.737829
 - 	336	-28.539711	3.748239	7.263231
 - 	337	-25.378445	3.348601	7.564902
 - 	338	-22.218044	2.823450	7.684370
 - 	339	-19.188627	2.209519	7.736436
 - 	340	-16.397787	1.569009	7.844436
 - 	341	-13.942864	0.978408	8.061028
 - 	342	-11.936616	0.506251	8.350843
 - 	343	-10.511871	0.196913	8.641271
 - 	344	-9.795758	0.071679	8.876692
 - 	345	-9.873349	0.133127	9.034499
 - 	346	-10.763033	0.364383	9.108319
 - 	347	-12.412240	0.737596	9.095921
 - 	348	-14.715834	1.225718	9.002793
 - 	349	-17.550695	1.801513	8.839354
 - 	350	-20.810143	2.435429	8.614942
